sampleID,isIncluded,subjectID,measurementID,perturbID,window,cohort
590,1,8,61,0,0,uc
591,1,8,62,0,0,uc
592,1,8,63,0,0,uc
593,1,8,64,0,0,uc
594,1,8,64.5,0,0,uc
595,1,9,1,0,0,uc
596,1,9,1.5,0,0,uc
597,1,9,2,0,0,uc
598,1,9,2.5,0,0,uc
599,1,9,3,0,0,uc
600,1,9,3.5,0,0,uc
601,1,9,4,0,0,uc
602,1,9,4.5,0,0,uc
603,1,9,5,0,0,uc
604,1,9,6,0,0,uc
605,1,9,7,0,0,uc
606,1,9,8,0,0,uc
607,1,9,9,0,0,uc
608,1,9,10,0,0,uc
609,1,9,11,0,0,uc
610,1,9,14,0,0,uc
611,1,9,16,0,0,uc
612,1,9,18,0,0,uc
613,1,9,21,0,0,uc
614,1,9,21.5,0,0,uc
615,1,9,22,1,1,uc
616,1,9,22.5,1,1,uc
617,1,9,23,1,1,uc
618,1,9,23.5,1,1,uc
619,1,9,24,1,1,uc
620,1,9,25,1,1,uc
621,1,9,28,1,1,uc
622,1,9,28.5,1,1,uc
623,1,9,29,0,1.5,uc
624,1,9,29.5,0,1.5,uc
625,1,9,30,0,1.5,uc
626,1,9,30.5,0,1.5,uc
627,1,9,31,0,1.5,uc
628,1,9,31.5,0,1.5,uc
629,1,9,32,0,1.5,uc
630,1,9,33,0,1.5,uc
631,1,9,35,0,1.5,uc
632,1,9,35.5,0,1.5,uc
633,1,9,36,2,2,uc
634,1,9,36.5,2,2,uc
635,1,9,37,2,2,uc
636,1,9,37.5,2,2,uc
637,1,9,38,2,2,uc
638,1,9,39,2,2,uc
639,1,9,42,2,2,uc
640,1,9,42.5,2,2,uc
641,1,9,43,0,2.5,uc
642,1,9,43.5,0,2.5,uc
643,1,9,44,0,2.5,uc
644,1,9,44.5,0,2.5,uc
645,1,9,45,0,2.5,uc
646,1,9,45.5,0,2.5,uc
647,1,9,46,0,2.5,uc
648,1,9,47,0,2.5,uc
649,1,9,50,0,2.5,uc
650,1,9,50.5,0,2.5,uc
651,1,9,51,3,3,uc
652,1,9,51.5,3,3,uc
653,1,9,52,3,3,uc
654,1,9,52.5,3,3,uc
655,1,9,53,3,3,uc
656,1,9,54,3,3,uc
657,1,9,57,3,3,uc
658,1,9,57.5,3,3,uc
659,1,9,58,0,0,uc
660,1,9,58.5,0,0,uc
661,1,9,59,0,0,uc
662,1,9,59.5,0,0,uc
663,1,9,60,0,0,uc
664,1,9,60.5,0,0,uc
665,1,9,61,0,0,uc
666,1,9,62,0,0,uc
667,1,9,63,0,0,uc
668,1,9,64,0,0,uc
669,1,9,64.5,0,0,uc
