,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
unknown unknown OTU_111,0,0,46,0,50,101,3,20,61,4,224,88,0,8,98,0,32,107,0,6,138,0,36,98,0,14,101,0,312,71
unknown unknown OTU_112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,14,0,0,0,0,0,15,0,0
unknown unknown OTU_113,154,43,0,205,0,0,77,46,0,185,0,0,39,74,0,133,0,0,80,42,0,162,0,0,68,42,0,285,0,0
Gemmiger unknown OTU_114,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,1,0,0,7,0,0
unknown unknown OTU_115,31,0,0,90,0,0,0,0,1,10,0,0,342,3,0,246,0,0,109,0,9,148,0,29,158,0,331,214,0,487
unknown unknown OTU_116,0,0,0,1,0,0,0,0,0,1,0,0,6,15,0,415,0,0,0,0,0,0,0,0,203,478,0,2556,0,0
unknown unknown OTU_117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediterraneibacter unknown OTU_118,18,32,0,8,0,0,32,139,0,22,1,0,28,286,0,16,0,0,19,12,0,26,0,0,7,70,0,24,0,0
Blautia unknown OTU_119,12,5,2,34,0,8,7,24,0,42,0,5,0,4,1,12,0,5,9,150,38,90,0,21,2,75,35,98,0,55
Anaerotignum unknown OTU_120,100,29,0,21,0,0,174,114,0,133,0,0,125,34,0,45,0,0,91,48,0,22,0,0,114,93,0,122,0,0
Caproiciproducens unknown OTU_121,22,26,41,263,19,87,27,12,24,310,12,88,15,12,14,249,0,61,17,8,31,218,6,48,12,15,62,166,0,103
Holdemanella unknown OTU_122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0
unknown unknown OTU_123,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraprevotella unknown OTU_124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monoglobus pectinilyticus OTU_125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odoribacter splanchnicus OTU_126,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0
Parabacteroides unknown OTU_127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longicatena unknown OTU_128,1,0,0,56,0,0,0,0,0,96,0,0,16,17,0,784,0,169,8,5,1,655,6,3,9,2,2,320,0,12
Blautia hydrogenotrophica OTU_129,2,0,0,0,0,0,0,4,0,31,0,4,0,0,0,0,0,0,1,7,0,467,0,1,0,1,0,117,0,0
Butyricimonas unknown OTU_130,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,7,0,0
Lactococcus taiwanensis/garvieae/lactis OTU_131,1,0,0,118,0,0,0,0,0,45,0,0,4,0,0,32,0,0,5,0,0,213,0,0,1,0,1,328,0,0
Clostridium_sensu_stricto paraputrificum OTU_132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Enterococcus unknown OTU_133,1,0,0,8,0,0,0,0,0,5,0,13,0,0,2,4,0,0,3,0,0,9,0,0,1,0,0,21,0,52
Cuneatibacter unknown OTU_134,7,6,36,35,93,38,9,7,29,40,72,38,17,16,33,41,80,43,0,2,70,21,99,32,8,15,49,28,86,59
Roseburia inulinivorans OTU_135,6,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ihubacter unknown OTU_136,0,3,14,0,32,1,0,2,9,6,43,2,0,5,9,0,117,3,0,5,11,24,12,0,0,0,11,8,51,8
Blautia unknown OTU_137,247,0,0,27,0,0,0,0,0,21,0,0,380,28,0,23,0,0,194,155,0,0,0,0,187,123,0,24,0,0
Klebsiella unknown OTU_138,0,0,0,11,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,12,0,0,0,0,0,23,0,0
unknown unknown OTU_139,0,0,112,0,0,40,0,0,149,0,0,107,0,0,43,0,0,12,0,0,62,2,0,95,0,0,99,0,0,70
Oxalobacter formigenes OTU_140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungatella unknown OTU_141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Mediterraneibacter unknown OTU_142,42,15,0,88,0,0,43,7,0,158,0,0,30,2,0,34,0,0,5,12,0,49,0,0,14,7,0,102,0,0
Dysosmobacter unknown OTU_143,10,8,16,10,2,26,3,6,33,43,5,30,7,8,7,18,2,35,9,6,31,36,0,7,6,4,42,36,0,23
Acetitomaculum unknown OTU_144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
