sampleID	measurement1	measurement2	measurement3
7-D29AM	225328482269.0084	442155826040.3837	567324597785.6803
7-D29PM	265324296711.94125	215679763578.09424	366862173206.0345
7-D2AM	2589441110.6435213	3623034953.9278274	3280450864.426932
7-D2PM	19829603236.898304	31531182217.15624	42241006433.13333
7-D30AM	77971027675.9811	173284368483.66312	300788622557.1934
7-D30PM	171511385630.10684	143209334343.54944	191643118091.3614
7-D31AM	471532462784.5746	458085798320.0707	290862981355.4945
7-D31PM	649951840207.0673	918999931636.7472	898903378393.85
7-D32	229145571186.5646	265161784854.9115	160451864437.7604
7-D33	141008446492.93414	152483241613.50574	204980099727.96213
7-D35AM	119884735667.87013	190311484940.6183	229476142100.4284
7-D35PM	11395789800.134232	23796549363.920498	28405470591.75566
7-D36AM	233063732961.1477	243116268667.01505	331900800335.4623
7-D36PM	406873758004.3839	352145252892.5644	563391838926.4623
7-D37AM	118031723302.1344	74461807757.74326	95835049731.98433
7-D37PM	52444114751.81044	111536940144.53436	115216133310.80687
7-D38	35148008267.93176	44228010454.161316	64438171663.6356
7-D39	55409646423.448944	99368190765.5695	116256586349.09128
7-D3AM	10946482311.09656	21746698510.260727	18981141709.782627
7-D3PM	19361509194.190132	32039708437.1781	54491267308.9555
7-D42AM	62647045024.0631	150527394055.7046	71035753966.05722
7-D42PM	27680907007.048527	47807297244.12583	73291822019.2764
7-D43AM	38708480216.97928	36452479462.008514	62408470384.76762
7-D43PM	5772606103.200688	13989814412.266323	18098434322.126328
7-D44AM	28819777221.60213	40823752485.45365	43374834693.302086
7-D44PM	23325117304.710613	20428184296.906563	48888218328.557526
7-D45AM	21752596427.041763	19336210408.96854	29981047322.178425
7-D45PM	25747284666.18744	16301997692.929674	29677582904.04988
7-D46	9351300900.981024	16881905730.871569	22862167536.605118
7-D47	16894798330.22737	46962118331.67065	25426277171.400387
7-D4AM	23195960348.812958	21689526552.117905	28181795762.070908
7-D4PM	32867311337.640526	48800697380.78928	59786242756.646614
7-D5	54869398392.19179	63435443132.166885	89981573217.29617
7-D50AM	35978763068.902016	44266676277.05503	62475816369.73757
7-D50PM	21117068027.79852	74162360500.82906	31596212667.359562
7-D51AM	17823621872.251274	25780550052.189552	36258775498.49555
7-D51PM	64333079040.37173	58942732716.1006	52614346930.67371
7-D52AM	32957824425.55155	142994452041.35406	40583422152.804695
7-D52PM	22527038570.147675	52511364672.949455	58870620278.29826
7-D53	46761489268.11979	59700862826.44245	21169451917.625458
7-D54	17236937188.852856	30209629376.467537	37057172593.86024
7-D57AM	119578520352.17027	186620497328.8388	301739557712.8964
7-D58AM	79260815797.4774	140889616217.4186	137086899569.12512
7-D58PM	35391752767.63267	48767456132.9961	52327113454.21207
7-D59AM	35657318343.811584	55885638421.838486	57785845699.39603
7-D59PM	68089272866.683426	36322686681.01596	74336115138.07213
7-D6	61296626359.180824	114103017845.67278	76228502754.41454
7-D60AM	68859178682.47682	53518253903.80676	91034045957.69176
7-D60PM	87810002498.20709	91695090205.89532	125735649153.79636
7-D61	20943034678.70955	36547018209.138664	44416045487.48986
